gene,cluster,avg_log2FC,p_val_adj
Ska3,0,1.4170719,0.0
Shcbp1,0,1.0809542,0.0
Pcnt,0,1.0756865,0.0
Kctd15,0,1.0063145,0.0
Nopchap1,0,1.1658479,0.0
Pcgf6,0,1.1575435,0.0
Las1l,0,1.0342449,0.0
Ints11,0,1.0778618,0.0
Aars1,0,1.0656826,0.0
Cpsf4,0,1.1210424,0.0
Gtf2h3,0,1.0251813,0.0
Polq,0,1.1631753,0.0
Fignl1,0,1.1314957,0.0
Slc16a3,0,1.4943572,0.0
Nudt1,0,1.0754468,0.0
Pinx1,0,1.0137329,0.0
Rpl31-ps12,0,1.4949988,0.0
Nelfcd,0,1.0085386,0.0
Gen1,0,1.4729148,0.0
Hmga1,0,1.0517942,0.0
Nr2f1,0,1.599479,0.0
Zwilch,0,1.1235974,0.0
Sdad1,0,1.0838199,0.0
Nop2,0,1.2548887,0.0
Pole,0,1.0051286,0.0
Kntc1,0,1.0056751,0.0
Gm35829,0,1.4331322,0.0
Wdr75,0,1.0966818,0.0
Naf1,0,1.1802647,0.0
Cep55,0,1.1334746,0.0
Haus6,0,1.0463779,0.0
Enkd1,0,1.3844124,0.0
Tfap4,0,1.0980598,0.0
Ttll4,0,1.0857108,0.0
2700038G22Rik,0,1.0253743,0.0
2010204K13Rik,0,1.011094,0.0
Dlgap5,0,1.1917957,0.0
Mars1,0,1.3377738,0.0
Mir17hg,0,1.7047311,0.0
Mab21l2,0,1.1226186,0.0
Pwp1,0,1.0514531,0.0
Etv5,0,1.0625659,0.0
Rbpms2,0,1.2505422,0.0
Tsr2,0,1.1659778,0.0
Daxx,0,1.0273148,0.0
2810408I11Rik,0,1.2371899,0.0
Wdr73,0,1.0087147,0.0
Sass6,0,1.0416284,0.0
Nup93,0,1.042625,0.0
Brca1,0,1.1141347,0.0
Pnp,0,1.1148564,0.0
Lin28a,0,2.6511023,0.0
Mrpl44,0,1.0062357,0.0
Leo1,0,1.0582279,0.0
Cip2a,0,1.1283585,0.0
Cth,0,1.8879207,0.0
Gm11478,0,1.1341134,0.0
Nup85,0,1.0006071,0.0
Bysl,0,1.1090878,0.0
Tfap2c,0,2.6657426,0.0
Sapcd2,0,1.5060728,0.0
Nle1,0,1.2425905,0.0
Prmt6,0,1.219851,0.0
Nampt,0,1.0994103,0.0
Unc119b,0,1.0036119,0.0
Coa7,0,1.1198393,0.0
Traip,0,1.3240418,0.0
Arid3b,0,1.4583443,0.0
Smyd5,0,1.0060717,0.0
Mrpl47,0,1.0312462,0.0
Krr1,0,1.0260344,0.0
Noc4l,0,1.2710025,0.0
Ndc80,0,1.0697095,0.0
Cars1,0,1.0702543,0.0
Wrap53,0,1.3153938,0.0
Alg3,0,1.2090864,0.0
Tsr1,0,1.2034576,0.0
Dmap1,0,1.0718668,0.0
Got1,0,1.2503935,0.0
Aspm,0,1.1756775,0.0
Cad,0,1.2967036,0.0
Cenpu,0,1.2211899,0.0
Rbm38,0,1.2016544,0.0
Kat2a,0,1.0109411,0.0
Fzd10,0,1.427172,0.0
Ticrr,0,1.1321425,0.0
Mcm8,0,1.1851606,0.0
Hoxc6,0,1.4096828,0.0
Spdl1,0,1.317327,0.0
Wdhd1,0,1.0065231,0.0
Cdc45,0,1.2105446,0.0
Hic2,0,1.0569812,0.0
Aaas,0,1.0657254,0.0
Septin3,0,1.1566414,0.0
Phactr3,0,2.5758474,0.0
Hoxb6,0,2.3066618,0.0
Ahcy,0,1.3777844,0.0
Dis3,0,1.0281241,0.0
Gm5218,0,1.9149405,0.0
Gtpbp10,0,1.1472799,0.0
Prr11,0,1.1149441,0.0
Tfrc,0,1.3041692,0.0
Impdh1,0,1.0290773,0.0
Enoph1,0,1.1442295,0.0
Arhgap11a,0,1.045449,0.0
Ccnj,0,1.1897544,0.0
Brca2,0,1.0473934,0.0
Pus1,0,1.1151996,0.0
Cdc6,0,1.3514042,0.0
Dnmt3b,0,1.2654424,0.0
Msh6,0,1.1332924,0.0
Axin2,0,1.0093964,0.0
Gclc,0,1.0698584,0.0
Alx1,0,2.0020068,0.0
Tmem41a,0,1.1060188,0.0
Mastl,0,1.1529318,0.0
Chek1,0,1.101904,0.0
Pak4,0,1.018434,0.0
Cenpl,0,1.1056148,0.0
Hrob,0,1.2929398,0.0
Plscr1,0,1.376089,0.0
Utp23,0,1.1624421,0.0
Cyp27a1,0,1.9168226,0.0
Gm52112,0,1.2942553,0.0
Gemin5,0,1.0439992,0.0
Dhx38,0,1.1531353,0.0
Aven,0,1.0509332,0.0
Nol9,0,1.0423267,0.0
Smpd4,0,1.1040767,0.0
Gm51921,0,2.4347682,0.0
Parvb,0,1.5372472,0.0
Wdr3,0,1.1490785,0.0
Nup133,0,1.0504173,0.0
Pold1,0,1.0509657,0.0
Nek2,0,1.4619755,0.0
Riox1,0,1.2719954,0.0
Donson,0,1.0125923,0.0
Fancd2,0,1.2605095,0.0
Ark2c,0,1.0635113,0.0
Foxm1,0,1.0989174,0.0
Hoxb8,0,2.570694,0.0
Gm12816,0,1.3546106,0.0
Slc20a1,0,1.1759938,0.0
Zfp518b,0,1.0693256,0.0
Kif18a,0,1.086833,0.0
Coq4,0,1.0055327,0.0
Pif1,0,1.0998932,0.0
Scrn2,0,1.1298972,0.0
Gm31727,0,2.5891318,0.0
Kif18b,0,1.3928698,0.0
Orc1,0,1.3724188,0.0
Haus3,0,1.1669052,0.0
Tars2,0,1.1155949,0.0
Gm2423,0,1.5849296,0.0
Lrr1,0,1.0498011,0.0
Cyp26b1,0,1.0929164,0.0
Noa1,0,1.1171237,0.0
Kcp,0,1.1823864,0.0
Hoxb3,0,1.3967458,0.0
Trmt61a,0,1.164128,0.0
Gm34931,0,2.512147,0.0
Cstf1,0,1.0676707,0.0
Gldc,0,2.543381,0.0
Gm42266,0,3.1397464,0.0
Prdm6,0,1.3329306,0.0
Gpank1,0,1.1290182,0.0
Nsl1,0,1.2840166,0.0
Nfil3,0,1.3867923,0.0
Ttf2,0,1.0453784,0.0
Gm12508,0,1.83244,0.0
Hoxa3,0,1.0508748,0.0
Gm54294,0,1.5155141,0.0
Scn2b,0,1.56154,0.0
Chek2,0,1.0305011,0.0
Pmaip1,0,1.922444,0.0
Espl1,0,1.2517333,0.0
Hoxb7,0,2.1988223,0.0
Zmym1,0,1.0829587,0.0
Parpbp,0,1.169865,0.0
L3mbtl2,0,1.2784619,0.0
Zik1,0,1.0668969,0.0
Elac2,0,1.2390257,0.0
Troap,0,1.202176,0.0
Utp15,0,1.0082107,0.0
Prelid3a,0,1.0669361,0.0
Smoc1,0,1.2454839,0.0
Tagln3,0,1.3191996,0.0
AI506816,0,1.3134997,0.0
Fastkd2,0,1.0606718,0.0
Zfp280b,0,1.0944037,0.0
Dhodh,0,1.0126845,0.0
Hoxb5,0,1.7847226,0.0
Polr1e,0,1.2459826,0.0
Emilin2,0,1.0448517,0.0
Rbm19,0,1.213312,0.0
Fastkd3,0,1.0511099,0.0
Depdc1b,0,1.5285275,0.0
Haus5,0,1.1509984,0.0
2600014E21Rik,0,2.1271305,0.0
Taf5,0,1.0169004,0.0
Dars2,0,1.1265056,0.0
Asic2,0,1.6686479,9.353368977983953e-304
Heatr1,0,1.0303649,1.2741395033911193e-303
ND6,0,1.1175294,1.0171751097824527e-299
Firrm,0,1.1493471,2.3633559159465153e-297
Fanci,0,1.221571,1.0491724997611295e-296
Gins3,0,1.0155619,1.807160399612721e-296
Gtsf2,0,1.2106166,4.5350942517471524e-296
Gemin4,0,1.2355274,3.5589068792415925e-294
Fbxl18,0,1.0851355,3.150010324429474e-286
Klhdc4,0,1.0313525,4.497142241335299e-286
Pop1,0,1.0294178,2.9877029865995327e-285
Chtf18,0,1.4743832,2.0907279625932044e-281
Haspin,0,1.3907682,1.6093843696198627e-275
Scd1,0,1.0363773,5.179725364978244e-273
Ttpa,0,1.5827061,5.525395058088857e-266
Cep76,0,1.1316121,4.697679814316026e-262
Bbc3,0,1.2417512,6.277525152440757e-262
Nsun5,0,1.0504953,1.0206266551528093e-259
Mettl13,0,1.0321273,3.356201024963243e-256
Bend4,0,1.1150467,3.172230483985808e-255
Gm30528,0,1.7125032,1.7224467626955828e-253
Twnk,0,1.0003372,1.0341923921419524e-252
Ctdp1,0,1.0127565,5.0309282004882e-252
Sh2b2,0,1.0963207,6.737442809276339e-252
Cdx1,0,3.8438807,2.4924488262213565e-251
Tmem132cos,0,1.7356526,5.256106566775016e-250
Rrp12,0,1.218197,2.2847726084383015e-249
Hus1,0,1.0852327,6.184117520732042e-243
Aagab,0,1.1287314,2.3363417060928183e-239
Gm50607,0,1.4043263,3.743637089162156e-238
Gm54158,0,1.218308,8.13604487546664e-238
Slc19a1,0,1.0729114,1.3641626424074937e-230
Pask,0,1.1212692,1.6873555425982414e-226
Ddx51,0,1.1051508,2.849376663818535e-225
Tedc2,0,1.0535833,7.385906419721999e-224
Gm8624,0,2.0527332,2.04189750238205e-215
Hoxa9,0,1.5724041,4.842473613353115e-214
Mapk12,0,1.5058324,5.583736931940942e-214
Gtse1,0,1.3409538,2.808743233175641e-213
Sall1,0,1.0679376,3.749519717917036e-209
Gm6285,0,1.566238,6.0728128376948e-206
Eif3j2,0,1.6528257,2.868996134540464e-203
2810429I04Rik,0,1.0708289,8.019208785595896e-202
Gm53339,0,1.5984161,2.293515787429796e-198
Rtn1,0,1.3385671,7.77430473641215e-195
Cenpj,0,1.0399971,6.907615349657875e-193
Gm9234,0,1.6881666,5.623238568338141e-189
Gm15793,0,1.2960591,1.457787855396827e-188
Ercc6l,0,1.425202,1.179105070222206e-183
Gpr137b,0,1.0812054,2.3869605066522538e-182
Tdg-ps2,0,1.6039277,1.3366582511965038e-178
Rhebl1,0,1.2117027,7.634788553788908e-176
Elovl2,0,1.8237408,7.06179951156431e-174
Mtfp1,0,1.459572,8.305090865815697e-174
Gm53234,0,1.0666625,7.102966824126039e-172
Gm46841,0,1.3451545,2.8213799704066554e-171
Mmachc,0,1.0279163,8.498800061770843e-168
Bend3,0,1.2722243,2.0747523913851266e-165
Katnal2,0,1.0831418,1.0226664629411314e-164
Lhpp,0,1.0642496,3.5661626373551975e-164
Amt,0,1.1954846,1.358639196468905e-162
Gm15489,0,1.4582785,3.5236965394299504e-160
Rpusd2,0,1.2326739,1.965919827892809e-156
Taf4b,0,1.0443482,3.626493088206167e-156
Gpatch3,0,1.0979426,3.239188980681339e-151
Gabrb3,0,1.3648702,4.8495757577734356e-151
A630034I12Rik,0,1.1730794,2.7175605242776733e-149
Ly75,0,1.5045171,2.8160713955900738e-149
Kcnh2,0,1.5846355,1.0290199275415097e-144
Asb6,0,1.0117935,2.082685528764136e-142
Hoxb5os,0,1.2287328,6.1945870848690334e-142
3110045C21Rik,0,1.260405,4.552111036528845e-140
Hoxaas3,0,1.7049829,1.6504982676772935e-139
Tstd3,0,1.1386284,7.393913939775791e-139
Spin2c,0,1.0233486,1.4687859770107565e-136
Gm4786,0,1.2702118,2.287608713824653e-132
Oip5,0,1.2053863,7.472975930898105e-132
Ddias,0,1.1728612,1.336584596452078e-130
Lrp8,0,1.0818495,4.31539531542574e-127
Prodh,0,1.2275037,2.8069200472760575e-125
Igf2os,0,1.1197336,3.296883048944182e-124
Pctp,0,1.3796843,3.87541689498098e-124
Gm41253,0,1.2063674,2.8822508687937708e-123
Nudt10,0,1.239715,7.568799205773144e-121
D030074P21Rik,0,1.0070201,7.606773495445315e-116
Afg2b,0,1.0932784,2.067886496442296e-115
Spring1,0,1.0084449,6.541177532942148e-113
Ptges3-ps,0,1.1664649,1.887810125947907e-110
Lama1,0,1.2025292,8.99934868189098e-107
Fam169a,0,1.0944053,4.253472151062005e-103
Opn3,0,1.162765,1.2257656307904627e-100
Rps15a-ps5,0,1.2099527,7.437626962706561e-100
Xrcc2,0,1.0504359,1.695934171243363e-94
Sox13,0,1.0753025,7.332568008250858e-94
Rragb,0,1.1418525,4.701914624663422e-91
Cyb5rl,0,1.1119456,1.343894758658638e-89
Mutyh,0,1.0728858,7.831504900292782e-85
Aars2,0,1.0169334,9.590023473310472e-82
Hbb-bh1,1,3.1458716,0.0
Hba-x,1,2.4556613,0.0
Kcnh7,1,3.5708396,1.4200789913173014e-157
Wnt2,1,3.0875118,1.8210657549653244e-71
Gata6,1,2.5338874,4.722196915802143e-60
Sfrp1,1,1.3731291,1.081633784035593e-48
Alx1,1,1.626265,8.828214991511389e-47
Ppp2r2b,1,1.978002,4.1361188111347446e-43
Myrf,1,2.7318034,1.797766237160524e-29
Gm54156,1,3.3214538,2.7478709162613524e-26
Lin28a,1,1.252292,1.6951082305087057e-24
Tnni1,1,1.3036115,2.5993997770593886e-24
Hoxb9,1,1.8588358,1.2456220296734896e-23
Abhd11os,1,1.9267168,1.279651208679521e-21
Rspo2,1,1.375714,7.196190069025362e-20
Gm30528,1,1.1861601,2.746648984330469e-19
Gm51921,1,1.2994242,1.5838531643942427e-15
Tmem108,1,1.0236663,6.61069984518096e-14
Nherf1,1,1.2016408,3.60508522989076e-13
Ndnf,1,1.2241492,7.099079879863882e-13
Hoxb8,1,1.0677867,7.949796290843414e-12
Hoxb5os,1,1.024216,1.1297643777200939e-11
Dpf3,1,1.3167846,1.9678844653677342e-11
Krt18,1,1.0236326,4.4849732097039756e-08
Piezo2,2,1.8031088,0.0
Ldlrad4,2,1.3622274,0.0
Ebf2,2,1.6367418,0.0
Col11a1,2,1.5109481,0.0
Scx,2,1.519585,0.0
Tox,2,1.377419,0.0
Col2a1,2,1.6264026,0.0
2700069I18Rik,2,1.202591,0.0
Nlgn1,2,1.7172195,0.0
Cthrc1,2,1.4024066,0.0
Kcnd2,2,1.301161,0.0
Chsy3,2,1.559014,0.0
Csgalnact1,2,1.9129604,0.0
Pcdh9,2,1.1487393,0.0
Kirrel3,2,1.1474528,0.0
Mgp,2,1.8002328,0.0
Magi2,2,1.0374682,0.0
Adamtsl1,2,1.0313622,0.0
Runx2,2,2.0644107,0.0
Gsc,2,1.9888031,0.0
C1qtnf4,2,1.1377798,0.0
Prr16,2,1.3972468,0.0
Tnc,2,1.6927314,0.0
Dcc,2,1.5249959,0.0
Mkx,2,1.3585979,0.0
Cadm2,2,1.2096109,0.0
Ogn,2,1.0583415,0.0
Egfr,2,1.218038,0.0
Rspo3,2,1.0090656,0.0
Col8a2,2,2.0208538,0.0
Ntng1,2,1.0528835,0.0
Angptl1,2,1.3785069,0.0
Mia,2,2.5220969,0.0
Foxc1,2,1.6265805,7.49701794422012e-309
Egfem1,2,2.0020728,6.5116362114510625e-307
Adamtsl3,2,2.0377254,1.7111685683397882e-304
Sned1,2,1.0331156,6.494550582243928e-295
Eln,2,1.0742759,1.0120495005657305e-293
Col9a2,2,1.78475,2.1484383713201802e-291
Egfl6,2,1.1389468,1.9133511034026815e-279
H2bc27,2,1.1752192,9.31724756859276e-272
Tafa2,2,1.183702,1.2469626703935983e-250
Matn4,2,2.247098,3.0138973640832393e-223
Tgfb3,2,1.0586624,2.777538933031968e-222
Pappa,2,1.400317,1.0787900966334989e-218
Bmper,2,1.3263441,8.66029753585459e-217
Itgb8,2,1.1710386,3.174629557405011e-211
P4ha3,2,1.4842966,4.4065968376161255e-208
